gta	gtb	ami	boot.num.higher	boot.frac.higher
1	2	0.0657014778633358	0	0
1	3	0.0317169862411343	1	0.001
1	4	0.0478337615558456	0	0
1	5	0.0744340476282198	0	0
1	6	0.000330419999124901	930	0.93
1	7	0.0484241935831878	0	0
1	8	0.0138548414193432	31	0.031
1	9	0.0288320482438675	1	0.001
1	10	0.00527131626924646	276	0.276
1	11	0.00746308713176619	454	0.454
1	12	0.00299766085604056	449	0.449
1	13	0.00849632925912418	125	0.125
1	14	0.00873283597812255	386	0.386
1	15	0.00918713640093857	473	0.473
1	16	0.00142597834815961	699	0.699
1	17	0.00509508697100022	273	0.273
1	18	0.00581783428097124	550	0.55
1	19	0.00498949201606693	639	0.639
1	20	0.00427072775436111	334	0.334
1	21	0.0146195410597978	113	0.113
1	22	0.0130969065943668	160	0.16
1	23	0.00344259970281466	401	0.401
1	24	0.00170066314002019	606	0.606
1	25	0.0427516325633059	0	0
1	26	0.00336766400741048	402	0.402
1	27	0.000956423337516645	769	0.769
1	28	0.00516212361926435	287	0.287
2	3	0.24426998453429	0	0
2	4	0.318809179534777	0	0
2	5	0.404482608985505	0	0
2	6	0.119650654039563	0	0
2	7	0.329271691222884	0	0
2	8	0.0107400725228615	77	0.077
2	9	0.0261724151747984	1	0.001
2	10	0.0275717683979816	0	0
2	11	0.0240967290369446	17	0.017
2	12	0.0281257468201299	1	0.001
2	13	0.0273919921122222	0	0
2	14	0.00955897623430115	432	0.432
2	15	0.0249690467253251	72	0.072
2	16	0.0064343509328698	246	0.246
2	17	0.0160790792072644	19	0.019
2	18	0.0182080429834068	75	0.075
2	19	0.0156508721674107	138	0.138
2	20	0.00495808617742114	366	0.366
2	21	0.0118434500838423	252	0.252
2	22	0.0199215081381229	53	0.053
2	23	0.00110015849569681	888	0.888
2	24	0.0032930655435408	525	0.525
2	25	0.016567869671363	12	0.012
2	26	0.0135742734474483	31	0.031
2	27	0.00481681097927922	430	0.43
2	28	0.00520695854368807	346	0.346
3	4	0.13962927989043	0	0
3	5	0.29427606854863	0	0
3	6	0.0895414886004612	0	0
3	7	0.162681975846056	0	0
3	8	0.0066432951061064	150	0.15
3	9	0.0574187514795464	0	0
3	10	0.00166461048418773	382	0.382
3	11	0.0024450329621659	535	0.535
3	12	0.0204408835934522	4	0.004
3	13	0.000844853557276603	556	0.556
3	14	0.00805629784017603	133	0.133
3	15	0.00361326983089946	544	0.544
3	16	0.00467363612964749	234	0.234
3	17	0.00680238210133889	151	0.151
3	18	0.00613963067512141	264	0.264
3	19	0.00321026447932917	441	0.441
3	20	0.00155559512782213	377	0.377
3	21	0.0228067464067688	7	0.007
3	22	0.00133868511843876	711	0.711
3	23	9.32014380418361e-05	762	0.762
3	24	0.000740971316921497	582	0.582
3	25	0.00619900067700035	152	0.152
3	26	0.00520165234068303	148	0.148
3	27	2.2302956366013e-05	880	0.88
3	28	0.00143251367450042	456	0.456
4	5	0.456885050474235	0	0
4	6	0.157859081315087	0	0
4	7	0.202743266565981	0	0
4	8	0.00120332659536468	749	0.749
4	9	0.00605375006419941	210	0.21
4	10	0.010619444358027	67	0.067
4	11	0.00510753968947667	631	0.631
4	12	0.0112143436598416	59	0.059
4	13	0.00126508696725283	684	0.684
4	14	0.028861402836939	4	0.004
4	15	0.0313726761503142	5	0.005
4	16	0.00129126562013988	719	0.719
4	17	0.00642591874940261	197	0.197
4	18	0.0324348969677002	1	0.001
4	19	0.0351498709119779	1	0.001
4	20	0.000462131706991664	901	0.901
4	21	0.00714911924537032	456	0.456
4	22	0.00361133829796637	755	0.755
4	23	0.00305261393845885	474	0.474
4	24	0.00238556369801375	521	0.521
4	25	0.0161503562207406	19	0.019
4	26	0.00444500602442337	311	0.311
4	27	1.74536719933406e-05	980	0.98
4	28	0.00994868284957081	93	0.093
5	6	0.106664412730662	0	0
5	7	0.40010141545223	0	0
5	8	0.00547336585662357	247	0.247
5	9	0.0502538166992366	0	0
5	10	0.0059801583715364	208	0.208
5	11	0.0275233642136827	9	0.009
5	12	0.0288900524428212	0	0
5	13	0.00384741506076589	361	0.361
5	14	0.0409331609918805	0	0
5	15	0.0273693842526204	11	0.011
5	16	0.00478560128487158	312	0.312
5	17	0.00767485715353453	144	0.144
5	18	0.00374098089758937	749	0.749
5	19	0.00587607148398575	592	0.592
5	20	0.00240929126091178	554	0.554
5	21	0.0279905894081256	8	0.008
5	22	0.00346561726293712	780	0.78
5	23	0.000259789345483197	938	0.938
5	24	0.0017171361206054	684	0.684
5	25	0.0221130897171048	6	0.006
5	26	0.0135264346512154	45	0.045
5	27	0.0115203747791721	75	0.075
5	28	0.0137536806119694	26	0.026
6	7	0.252729805842171	0	0
6	8	0.0154883749806063	29	0.029
6	9	0.00666742719539379	143	0.143
6	10	0.000113507953648912	748	0.748
6	11	0.0211252610124534	7	0.007
6	12	0.000282089663002964	752	0.752
6	13	0.000324163294264558	651	0.651
6	14	0.013753887793555	40	0.04
6	15	0.00759248607483829	235	0.235
6	16	0.00584839204386144	146	0.146
6	17	0.011383604678544	69	0.069
6	18	0.00172197961200701	654	0.654
6	19	0.00141426605436414	717	0.717
6	20	0.0117116620739114	44	0.044
6	21	0.0238341061969212	2	0.002
6	22	0.00237078549824743	525	0.525
6	23	0.0232819253517958	14	0.014
6	24	0.0202509456023183	12	0.012
6	25	0.05757507601743	0	0
