Chromosome	chromStart	chromEnd	GeneName
CMV_DNA	1356	2387	RL1
CMV_DNA	8601	9114	RL10
CMV_DNA	9142	9847	RL11
CMV_DNA	9850	11095	RL12
CMV_DNA	11189	12071	RL13
CMV_DNA	2489	5820	RL5A
CMV_DNA	5959	6474	RL6
CMV_DNA	6759	13122	RL8A
CMV_DNA	6759	8427	RL9A
CMV_DNA	12174	12831	UL1
CMV_DNA	17776	18541	UL10
CMV_DNA	146538	147654	UL100
CMV_DNA	147831	150453	UL102
CMV_DNA	150615	151365	UL103
CMV_DNA	151312	153406	UL104
CMV_DNA	153233	156104	UL105
CMV_DNA	18642	19461	UL11
CMV_DNA	161003	161693	UL111A
CMV_DNA	161917	164129	UL112
CMV_DNA	164298	165051	UL114
CMV_DNA	165022	165859	UL115
CMV_DNA	165858	166800	UL116
CMV_DNA	166796	168074	UL117
CMV_DNA	168186	169312	UL119
CMV_DNA	169366	169972	UL120
CMV_DNA	170022	170565	UL121
CMV_DNA	170689	174091	UL122
CMV_DNA	172329	174091	UL123
CMV_DNA	171737	174650	UL124
CMV_DNA	19658	21080	UL13
CMV_DNA	176984	177629	UL130
CMV_DNA	177649	178147	UL131A
CMV_DNA	178252	179065	UL132
CMV_DNA	189949	190723	UL133
CMV_DNA	188846	189773	UL135
CMV_DNA	188033	188756	UL136
CMV_DNA	187441	187951	UL138
CMV_DNA	186462	186879	UL139
CMV_DNA	21229	22213	UL14
CMV_DNA	185705	186281	UL140
CMV_DNA	184396	185413	UL141
CMV_DNA	183406	184324	UL142
CMV_DNA	182206	182737	UL144
CMV_DNA	181573	181966	UL145
CMV_DNA	180930	181293	UL146
CMV_DNA	180390	180870	UL147
CMV_DNA	180160	180388	UL147A
CMV_DNA	179141	180092	UL148
CMV_DNA	190818	191061	UL148A
CMV_DNA	191190	191433	UL148B
CMV_DNA	191522	191756	UL148C
CMV_DNA	192009	194349	UL148D
CMV_DNA	192341	194261	UL150
CMV_DNA	182888	194349	UL150A
CMV_DNA	22225	22534	UL15A
CMV_DNA	22754	23447	UL16
CMV_DNA	23554	23869	UL17
CMV_DNA	23977	25084	UL18
CMV_DNA	25080	25377	UL19
CMV_DNA	13211	13391	UL2
CMV_DNA	25640	26657	UL20
CMV_DNA	26803	27175	UL21A
CMV_DNA	27443	27844	UL22A
CMV_DNA	28208	29063	UL23
CMV_DNA	29278	30355	UL24
CMV_DNA	30402	32373	UL25
CMV_DNA	32560	33127	UL26
CMV_DNA	33182	35009	UL27
CMV_DNA	35105	37354	UL29
